x: 0.0, y: 0.0
[1725214594495] x: 0.0, y: 0.0
[1725214594506] x: 0.0, y: 0.0
[1725214594517] x: 0.0, y: 0.0
[1725214594528] x: 0.0, y: 0.0
[1725214594539] x: 0.0, y: 0.0
[1725214594550] x: 0.0, y: 0.0
[1725214594561] x: 0.0, y: 0.0
[1725214594572] x: 0.0, y: 0.0
[1725214594583] x: 0.0, y: 0.0
[1725214594594] x: 0.0, y: 0.0
[1725214594605] x: 0.0, y: 0.0
[1725214594616] x: 0.0, y: 0.0
[1725214594627] x: 0.0, y: 0.0
[1725214594638] x: 0.0, y: 0.0
[1725214594649] x: 0.0, y: 0.0
[1725214594660] x: 0.0, y: 0.0
[1725214594671] x: 0.0, y: 0.0
[1725214594682] x: 0.0, y: 0.0
[1725214594693] x: 0.0, y: 0.0
[1725214594704] x: 0.0, y: 0.0
[1725214594715] x: 0.0, y: 0.0
[1725214594726] x: 0.0, y: 0.0
[1725214594737] x: 0.0, y: 0.0
[1725214594748] x: 0.0, y: 0.0
[1725214594759] x: 0.0, y: 0.0
[1725214594770] x: 0.0, y: 0.0
[1725214594781] x: 0.0, y: 0.0
[1725214594792] x: 0.0, y: 0.0
[1725214594803] x: 0.0, y: 0.0
[1725214594814] x: 0.0, y: 0.0
[1725214594825] x: 0.0, y: 0.0
[1725214594836] x: 0.0, y: 0.0
[1725214594847] x: 0.0, y: 0.0
[1725214594858] x: 0.0, y: 0.0
[1725214594869] x: 0.0, y: 0.0
[1725214594880] x: 0.0, y: 0.0
[1725214594891] x: 0.0, y: 0.0
[1725214594902] x: 0.0, y: 0.0
[1725214594913] x: 0.0, y: 0.0
[1725214594924] x: 0.0, y: 0.0
[1725214594935] x: 0.0, y: 0.0
[1725214594946] x: 0.0, y: 0.0
[1725214594957] x: 0.0, y: 0.0
[1725214594968] x: 0.0, y: 0.0
[1725214594979] x: 0.0, y: 0.0
[1725214594990] x: 0.0, y: 0.0
[1725214595001] x: 0.0, y: 0.0
[1725214595012] x: 0.0, y: 0.0
[1725214595023] x: 0.0, y: 0.0
[1725214595034] x: 0.0, y: 0.0
[1725214595045] x: 0.0, y: 0.0
[1725214595056] x: 0.0, y: 0.0
[1725214595067] x: 0.0, y: 0.0
[1725214595078] x: 0.0, y: 0.0
[1725214595089] x: 0.0, y: 0.0
[1725214595100] x: 0.0, y: 0.0
[1725214595111] x: 0.0, y: 0.0
[1725214595122] x: 0.0, y: 0.0
[1725214595133] x: 0.0, y: 0.0
[1725214595144] x: 0.0, y: 0.0
[1725214595155] x: 0.0, y: 0.0
[1725214595166] x: 0.0, y: 0.0
[1725214595177] x: 0.0, y: 0.0
[1725214595188] x: 0.0, y: 0.0
[1725214595199] x: 0.0, y: 0.0
[1725214595209] x: -0.34, y: 0.42
[1725214595221] x: -0.34, y: 0.42
[1725214595232] x: -0.34, y: 0.42
[1725214595243] x: -0.34, y: 0.42
[1725214595254] x: -0.34, y: 0.42
[1725214595265] x: -0.46, y: 0.6
[1725214595276] x: -0.46, y: 0.6
[1725214595287] x: -0.46, y: 0.6
[1725214595298] x: -0.46, y: 0.6
[1725214595309] x: -0.46, y: 0.6
[1725214595320] x: -0.72, y: 1.0
[1725214595331] x: -0.72, y: 1.0
[1725214595342] x: -0.72, y: 1.0
[1725214595353] x: -0.72, y: 1.0
[1725214595364] x: -0.78, y: 1.0
[1725214595375] x: -0.78, y: 1.0
[1725214595386] x: -0.78, y: 1.0
[1725214595397] x: -0.78, y: 1.0
[1725214595408] x: -0.78, y: 1.0
[1725214595419] x: -0.73, y: 1.0
[1725214595430] x: -0.73, y: 1.0
[1725214595441] x: -0.73, y: 1.0
[1725214595452] x: -0.73, y: 1.0
[1725214595463] x: -0.73, y: 1.0
[1725214595474] x: -0.42, y: 1.0
[1725214595485] x: -0.42, y: 1.0
[1725214595496] x: -0.42, y: 1.0
[1725214595507] x: -0.42, y: 1.0
[1725214595518] x: -0.42, y: 1.0
[1725214595529] x: 0.02, y: 1.0
[1725214595540] x: 0.02, y: 1.0
[1725214595551] x: 0.02, y: 1.0
[1725214595562] x: 0.02, y: 1.0
[1725214595573] x: 0.02, y: 1.0
[1725214595584] x: 0.71, y: 1.0
[1725214595595] x: 0.71, y: 1.0
[1725214595606] x: 0.71, y: 1.0
[1725214595617] x: 0.71, y: 1.0
[1725214595628] x: 0.71, y: 1.0
[1725214595639] x: 1.0, y: 1.0
[1725214595650] x: 1.0, y: 1.0
[1725214595661] x: 1.0, y: 1.0
[1725214595672] x: 1.0, y: 1.0
[1725214595683] x: 1.0, y: 1.0
[1725214595693] x: 1.0, y: 0.36
[1725214595705] x: 1.0, y: 0.36
[1725214595716] x: 1.0, y: 0.36
[1725214595727] x: 1.0, y: 0.36
[1725214595738] x: 1.0, y: 0.36
[1725214595749] x: 1.0, y: 0.36
[1725214595760] x: 1.0, y: -0.31
[1725214595771] x: 1.0, y: -0.31
[1725214595782] x: 1.0, y: -0.31
[1725214595793] x: 1.0, y: -0.31
[1725214595803] x: 1.0, y: -0.85
[1725214595815] x: 1.0, y: -0.85
[1725214595826] x: 1.0, y: -0.85
[1725214595837] x: 1.0, y: -0.85
[1725214595848] x: 1.0, y: -0.85
[1725214595858] x: 0.6, y: -1.0
[1725214595870] x: 0.6, y: -1.0
[1725214595881] x: 0.6, y: -1.0
[1725214595892] x: 0.6, y: -1.0
[1725214595903] x: 0.6, y: -1.0
[1725214595914] x: -0.58, y: -1.0
[1725214595925] x: -0.58, y: -1.0
[1725214595936] x: -0.58, y: -1.0
[1725214595947] x: -0.58, y: -1.0
[1725214595958] x: -0.58, y: -1.0
[1725214595969] x: -1.0, y: -1.0
[1725214595980] x: -1.0, y: -1.0
[1725214595991] x: -1.0, y: -1.0
[1725214596002] x: -1.0, y: -1.0
[1725214596013] x: -1.0, y: -1.0
[1725214596024] x: -1.0, y: -1.0
[1725214596035] x: -1.0, y: -1.0
[1725214596046] x: -1.0, y: -1.0
[1725214596057] x: -1.0, y: -1.0
[1725214596067] x: -1.0, y: -0.17
[1725214596079] x: -1.0, y: -0.17
[1725214596090] x: -1.0, y: -0.17
[1725214596101] x: -1.0, y: -0.17
[1725214596112] x: -1.0, y: -0.17
[1725214596123] x: -1.0, y: 1.0
[1725214596134] x: -1.0, y: 1.0
[1725214596145] x: -1.0, y: 1.0
[1725214596156] x: -1.0, y: 1.0
[1725214596167] x: -1.0, y: 1.0
[1725214596178] x: -1.0, y: 1.0
[1725214596189] x: -1.0, y: 1.0
[1725214596200] x: -1.0, y: 1.0
[1725214596211] x: -1.0, y: 1.0
[1725214596222] x: 0.0, y: 0.0
[1725214596233] x: 0.0, y: 0.0
[1725214596244] x: 0.0, y: 0.0
[1725214596255] x: 0.0, y: 0.0
[1725214596266] x: 0.0, y: 0.0
[1725214596277] x: 0.0, y: 0.0
[1725214596288] x: 0.0, y: 0.0
[1725214596299] x: 0.0, y: 0.0
[1725214596310] x: 0.0, y: 0.0
[1725214596321] x: 0.0, y: 0.0
[1725214596332] x: 0.0, y: 0.0
[1725214596343] x: 0.0, y: 0.0
[1725214596354] x: 0.0, y: 0.0
[1725214596365] x: 0.0, y: 0.0
[1725214596376] x: 0.0, y: 0.0
[1725214596387] x: 0.0, y: 0.0
[1725214596398] x: 0.0, y: 0.0
[1725214596409] x: 0.0, y: 0.0
[1725214596420] x: 0.0, y: 0.0
[1725214596431] x: 0.0, y: 0.0
[1725214596442] x: 0.0, y: 0.0
[1725214596453] x: 0.0, y: 0.0
[1725214596464] x: 0.0, y: 0.0
[1725214596475] x: 0.0, y: 0.0
[1725214596486] x: 0.0, y: 0.0
[1725214596497] x: 0.0, y: 0.0
[1725214596508] x: 0.0, y: 0.0
[1725214596519] x: 0.0, y: 0.0
[1725214596530] x: 0.0, y: 0.0
[1725214596541] x: 0.0, y: 0.0
[1725214596552] x: 0.0, y: 0.0
[1725214596563] x: 0.0, y: 0.0
[1725214596574] x: 0.0, y: 0.0
